Date,Open,High,Low,Close,Adj Close,Volume
2022-06-22,5.126168,5.137450,4.800226,4.825422,4.825422,49544783874
2022-06-23,4.824734,5.057605,4.824734,5.003655,5.003655,33927153200
2022-06-24,5.002590,5.333839,5.001466,5.252627,5.252627,40278865803
2022-06-25,5.251518,5.408195,5.116481,5.360503,5.360503,33857655005
2022-06-26,5.359336,6.022842,5.282353,5.726261,5.726261,69150935693
2022-06-27,5.724489,6.145788,5.570996,5.666539,5.666539,75480095656
2022-06-28,5.665119,5.749799,5.196923,5.215426,5.215426,42288004722
2022-06-29,5.218559,5.628173,5.103180,5.480914,5.480914,46773298210
2022-06-30,5.481970,5.484446,4.956985,5.218332,5.218332,44744368285
2022-07-01,5.228038,5.374478,5.070182,5.224557,5.224557,37299678298
2022-07-02,5.226959,5.344327,5.205473,5.265887,5.265887,27837284184
2022-07-03,5.265880,5.317832,5.140558,5.303881,5.303881,22175605575
2022-07-04,5.303478,5.494571,5.207132,5.484125,5.484125,29964037750
2022-07-05,5.480872,5.513260,5.211337,5.329979,5.329979,32003041275
2022-07-06,5.331320,5.458449,5.260197,5.420922,5.420922,31531973418
2022-07-07,5.420611,5.634104,5.376314,5.594713,5.594713,31894063015
2022-07-08,5.594493,5.780681,5.438683,5.494269,5.494269,35252561894
2022-07-09,5.491638,5.553609,5.473490,5.514142,5.514142,20170544933
2022-07-10,5.513911,5.513911,5.277841,5.336049,5.336049,23784431222
2022-07-11,5.336515,5.336515,4.890655,4.915453,4.915453,25919850875
2022-07-12,4.915772,5.005145,4.775493,4.775493,4.775493,23720734564
2022-07-13,4.775353,4.948925,4.660812,4.944288,4.944288,35634506031
2022-07-14,4.942686,5.002948,4.778485,4.983932,4.983932,27804930379
2022-07-15,4.984443,5.132063,4.932301,5.025762,5.025762,29844069404
2022-07-16,5.025352,5.164095,4.932304,5.128606,5.128606,22311561344
2022-07-17,5.129266,5.213345,5.030457,5.030960,5.030960,19906021711
2022-07-18,5.031508,5.494383,5.031508,5.419267,5.419267,45200902967
2022-07-19,5.417260,5.581824,5.254865,5.511090,5.511090,44097452882
2022-07-20,5.511299,6.122064,5.424489,5.610040,5.610040,81556707410
2022-07-21,5.610373,5.659068,5.378510,5.581125,5.581125,39284507191
2022-07-22,5.579863,5.649320,5.532025,5.603300,5.603300,34404802560
